MANDT CLNT 000003 000000
BUKRS CHAR 000004 000000
BELNR CHAR 000010 000000
GJAHR NUMC 000004 000000
BUZEI NUMC 000003 000000
AUGDT DATS 000008 000000
AUGBL CHAR 000010 000000
BSCHL CHAR 000002 000000
KOART CHAR 000001 000000
UMSKZ CHAR 000001 000000
DMBTR CURR 000013 000002
WRBTR CURR 000013 000002
SAKNR CHAR 000010 000000
HKONT CHAR 000010 000000
KUNNR CHAR 000010 000000
LIFNR CHAR 000010 000000
ZFBDT DATS 000008 000000
ZTERM CHAR 000004 000000
ZBD1T DEC 000003 000000
ZBD2T DEC 000003 000000
ZBD3T DEC 000003 000000
ZBD1P DEC 000005 000003
ZBD2P DEC 000005 000003
SKFBT CURR 000013 000002
SKNTO CURR 000013 000002
WSKTO CURR 000013 000002
MADAT DATS 000008 000000
MANST NUMC 000001 000000
WERKS CHAR 000004 000000
